	Date	Name of State / UT	Latitude	Longitude	Total Confirmed cases	Death	Cured/Discharged/Migrated	New cases	New deaths	New recovered
108	2020-03-12	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
121	2020-03-13	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
134	2020-03-14	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
147	2020-03-15	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
161	2020-03-16	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
176	2020-03-17	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
191	2020-03-18	Andhra Pradesh	15.9129	79.74	1.0	0	0.0	0	0	0
208	2020-03-19	Andhra Pradesh	15.9129	79.74	2.0	0	0.0	1	0	0
227	2020-03-20	Andhra Pradesh	15.9129	79.74	2.0	0	0.0	0	0	0
247	2020-03-21	Andhra Pradesh	15.9129	79.74	3.0	0	0.0	1	0	0
269	2020-03-22	Andhra Pradesh	15.9129	79.74	5.0	0	0.0	2	0	0
292	2020-03-23	Andhra Pradesh	15.9129	79.74	7.0	0	0.0	2	0	0
315	2020-03-24	Andhra Pradesh	15.9129	79.74	8.0	0	0.0	1	0	0
339	2020-03-25	Andhra Pradesh	15.9129	79.74	9.0	0	1.0	1	0	1
365	2020-03-26	Andhra Pradesh	15.9129	79.74	11.0	0	1.0	2	0	0
392	2020-03-27	Andhra Pradesh	15.9129	79.74	12.0	0	1.0	1	0	0
419	2020-03-28	Andhra Pradesh	15.9129	79.74	14.0	0	1.0	2	0	0
446	2020-03-29	Andhra Pradesh	15.9129	79.74	14.0	0	1.0	0	0	0
473	2020-03-30	Andhra Pradesh	15.9129	79.74	19.0	0	1.0	5	0	0
500	2020-03-31	Andhra Pradesh	15.9129	79.74	40.0	0	1.0	21	0	0
527	2020-04-01	Andhra Pradesh	15.9129	79.74	83.0	0	0.0	43	0	-1
555	2020-04-02	Andhra Pradesh	15.9129	79.74	86.0	1	1.0	3	0	1
583	2020-04-03	Andhra Pradesh	15.9129	79.74	132.0	1	1.0	46	0	0
613	2020-04-04	Andhra Pradesh	15.9129	79.74	161.0	1	1.0	29	0	0
643	2020-04-05	Andhra Pradesh	15.9129	79.74	161.0	1	1.0	0	0	0
673	2020-04-06	Andhra Pradesh	15.9129	79.74	226.0	3	1.0	65	0	0
703	2020-04-07	Andhra Pradesh	15.9129	79.74	266.0	3	1.0	40	0	0
734	2020-04-08	Andhra Pradesh	15.9129	79.74	305.0	4	1.0	39	0	0
765	2020-04-09	Andhra Pradesh	15.9129	79.74	348.0	4	6.0	43	0	5
796	2020-04-10	Andhra Pradesh	15.9129	79.74	348.0	4	6.0	0	0	0
827	2020-04-11	Andhra Pradesh	15.9129	79.74	363.0	6	7.0	15	0	1
858	2020-04-12	Andhra Pradesh	15.9129	79.74	381.0	6	11.0	18	0	4
889	2020-04-13	Andhra Pradesh	15.9129	79.74	427.0	7	11.0	46	0	0
920	2020-04-14	Andhra Pradesh	15.9129	79.74	473.0	9	14.0	46	0	3
952	2020-04-15	Andhra Pradesh	15.9129	79.74	483.0	9	16.0	10	0	2
984	2020-04-16	Andhra Pradesh	15.9129	79.74	525.0	14	20.0	42	0	4
1016	2020-04-17	Andhra Pradesh	15.9129	79.74	572.0	14	36.0	47	0	16
1048	2020-04-18	Andhra Pradesh	15.9129	79.74	572.0	14	36.0	0	0	0
1080	2020-04-19	Andhra Pradesh	15.9129	79.74	603.0	15	42.0	31	0	6
1112	2020-04-20	Andhra Pradesh	15.9129	79.74	646.0	15	42.0	43	0	0
1144	2020-04-21	Andhra Pradesh	15.9129	79.74	722.0	20	92.0	76	0	50
1176	2020-04-22	Andhra Pradesh	15.9129	79.74	757.0	22	96.0	35	0	4
1208	2020-04-23	Andhra Pradesh	15.9129	79.74	813.0	24	120.0	56	0	24
1240	2020-04-24	Andhra Pradesh	15.9129	79.74	895.0	27	141.0	82	0	21
1272	2020-04-25	Andhra Pradesh	15.9129	79.74	955.0	29	145.0	60	0	4
1304	2020-04-26	Andhra Pradesh	15.9129	79.74	1061.0	31	171.0	106	0	26
1336	2020-04-27	Andhra Pradesh	15.9129	79.74	1097.0	31	231.0	36	0	60
1368	2020-04-28	Andhra Pradesh	15.9129	79.74	1183.0	31	235.0	86	0	4
1400	2020-04-29	Andhra Pradesh	15.9129	79.74	1259.0	31	258.0	76	0	23
1432	2020-04-30	Andhra Pradesh	15.9129	79.74	1332.0	31	287.0	73	0	29
1464	2020-05-01	Andhra Pradesh	15.9129	79.74	1403.0	31	321.0	71	0	34
1496	2020-05-02	Andhra Pradesh	15.9129	79.74	1463.0	33	403.0	60	0	82
1528	2020-05-03	Andhra Pradesh	15.9129	79.74	1525.0	33	441.0	62	0	38
1560	2020-05-04	Andhra Pradesh	15.9129	79.74	1583.0	33	488.0	58	0	47
1592	2020-05-05	Andhra Pradesh	15.9129	79.74	1650.0	36	524.0	67	0	36
1624	2020-05-06	Andhra Pradesh	15.9129	79.74	1717.0	36	589.0	67	0	65
1657	2020-05-07	Andhra Pradesh	15.9129	79.74	1777.0	36	729.0	60	0	140
1690	2020-05-08	Andhra Pradesh	15.9129	79.74	1847.0	38	780.0	70	0	51
1723	2020-05-09	Andhra Pradesh	15.9129	79.74	1887.0	41	842.0	40	0	62
1756	2020-05-10	Andhra Pradesh	15.9129	79.74	1930.0	44	887.0	43	0	45
1789	2020-05-11	Andhra Pradesh	15.9129	79.74	1980.0	45	925.0	50	0	38
1822	2020-05-12	Andhra Pradesh	15.9129	79.74	2018.0	45	975.0	38	0	50
1855	2020-05-13	Andhra Pradesh	15.9129	79.74	2090.0	46	1056.0	72	0	81
1888	2020-05-14	Andhra Pradesh	15.9129	79.74	2137.0	47	1142.0	47	0	86
1921	2020-05-15	Andhra Pradesh	15.9129	79.74	2205.0	48	1192.0	68	0	50
1954	2020-05-16	Andhra Pradesh	15.9129	79.74	2307.0	48	1252.0	102	0	60
1987	2020-05-17	Andhra Pradesh	15.9129	79.74	2355.0	49	1353.0	48	0	101
2020	2020-05-18	Andhra Pradesh	15.9129	79.74	2407.0	50	1456.0	52	0	103
2053	2020-05-19	Andhra Pradesh	15.9129	79.74	2474.0	50	1552.0	67	0	96
2086	2020-05-20	Andhra Pradesh	15.9129	79.74	2532.0	52	1621.0	58	0	69
2119	2020-05-21	Andhra Pradesh	15.9129	79.74	2602.0	53	1640.0	70	0	19
2152	2020-05-22	Andhra Pradesh	15.9129	79.74	2647.0	53	1709.0	45	0	69
2185	2020-05-23	Andhra Pradesh	15.9129	79.74	2709.0	55	1763.0	62	0	54
2218	2020-05-24	Andhra Pradesh	15.9129	79.74	2757.0	56	1809.0	48	0	46
2252	2020-05-25	Andhra Pradesh	15.9129	79.74	2823.0	56	1856.0	66	0	47
2286	2020-05-26	Andhra Pradesh	15.9129	79.74	3110.0	56	1896.0	287	0	40
2321	2020-05-27	Andhra Pradesh	15.9129	79.74	3171.0	57	2009.0	61	0	113
2356	2020-05-28	Andhra Pradesh	15.9129	79.74	3171.0	58	2057.0	0	0	48
2391	2020-05-29	Andhra Pradesh	15.9129	79.74	3251.0	59	2125.0	80	0	68
2426	2020-05-30	Andhra Pradesh	15.9129	79.74	3436.0	60	2226.0	185	0	101
2461	2020-05-31	Andhra Pradesh	15.9129	79.74	3569.0	60	2289.0	133	0	63
2496	2020-06-01	Andhra Pradesh	15.9129	79.74	3679.0	62	2349.0	110	0	60
2531	2020-06-02	Andhra Pradesh	15.9129	79.74	3783.0	64	2378.0	104	0	29
2566	2020-06-03	Andhra Pradesh	15.9129	79.74	3898.0	64	2421.0	115	0	43
2601	2020-06-04	Andhra Pradesh	15.9129	79.74	4080.0	68	2466.0	182	0	45
2636	2020-06-05	Andhra Pradesh	15.9129	79.74	4223.0	71	2539.0	143	0	73
2671	2020-06-06	Andhra Pradesh	15.9129	79.74	4303.0	73	2576.0	80	0	37
2706	2020-06-07	Andhra Pradesh	15.9129	79.74	4510.0	73	2620.0	207	0	44
2741	2020-06-08	Andhra Pradesh	15.9129	79.74	4708.0	75	2682.0	198	0	62
2776	2020-06-09	Andhra Pradesh	15.9129	79.74	4851.0	75	2745.0	143	0	63
2811	2020-06-10	Andhra Pradesh	15.9129	79.74	5070.0	77	2802.0	219	0	57
2846	2020-06-11	Andhra Pradesh	15.9129	79.74	5269.0	78	2899.0	199	0	97
2881	2020-06-12	Andhra Pradesh	15.9129	79.74	5429.0	80	3048.0	160	0	149
2916	2020-06-13	Andhra Pradesh	15.9129	79.74	5680.0	80	3105.0	251	0	57
2951	2020-06-14	Andhra Pradesh	15.9129	79.74	5965.0	82	3195.0	285	0	90
2986	2020-06-15	Andhra Pradesh	15.9129	79.74	6163.0	84	3314.0	198	0	119
3021	2020-06-16	Andhra Pradesh	15.9129	79.74	6456.0	88	3316.0	293	0	2
3056	2020-06-17	Andhra Pradesh	15.9129	79.74	6841.0	88	3509.0	385	0	193
3091	2020-06-18	Andhra Pradesh	15.9129	79.74	7071.0	90	3641.0	230	0	132
3126	2020-06-19	Andhra Pradesh	15.9129	79.74	7518.0	92	3789.0	447	0	148
3161	2020-06-20	Andhra Pradesh	15.9129	79.74	7961.0	96	3917.0	443	0	128
3196	2020-06-21	Andhra Pradesh	15.9129	79.74	8452.0	101	4111.0	491	0	194
3231	2020-06-22	Andhra Pradesh	15.9129	79.74	8999.0	106	4331.0	547	0	220
3266	2020-06-23	Andhra Pradesh	15.9129	79.74	9372.0	111	4495.0	373	0	164
3301	2020-06-24	Andhra Pradesh	15.9129	79.74	10002.0	119	4599.0	630	0	104
3336	2020-06-25	Andhra Pradesh	15.9129	79.74	10331.0	124	4779.0	329	0	180
3371	2020-06-27	Andhra Pradesh	15.9129	79.74	11489.0	148	5196.0	1158	0	417
3406	2020-06-28	Andhra Pradesh	15.9129	79.74	12285.0	157	5480.0	796	0	284
3441	2020-06-29	Andhra Pradesh	15.9129	79.74	13241.0	169	5908.0	956	0	428
3476	2020-06-30	Andhra Pradesh	15.9129	79.74	13891.0	180	6232.0	650	0	324
3511	2020-07-02	Andhra Pradesh	15.9129	79.74	15252.0	193	6988.0	1361	0	756
3546	2020-07-03	Andhra Pradesh	15.9129	79.74	16097.0	198	7313.0	845	0	325
3581	2020-07-05	Andhra Pradesh	15.9129	79.74	17699.0	218	8008.0	1602	0	695
3616	2020-07-07	Andhra Pradesh	15.9129	79.74	20019.0	239	8920.0	2320	0	912
3651	2020-07-08	Andhra Pradesh	15.9129	79.74	21197.0	252	9745.0	1178	0	825
3686	2020-07-09	Andhra Pradesh	15.9129	79.74	22259.0	264	11101.0	1062	0	1356
3721	2020-07-10	Andhra Pradesh	15.9129	79.74	23814.0	277	12154.0	1555	0	1053
3756	2020-07-11	Andhra Pradesh	15.9129	79.74	25422.0	292	13194.0	1608	0	1040
3791	2020-07-12	Andhra Pradesh	15.9129	79.74	27235.0	309	14393.0	1813	0	1199
3826	2020-07-13	Andhra Pradesh	15.9129	79.74	29168.0	328	15412.0	1933	0	1019
3861	2020-07-14	Andhra Pradesh	15.9129	79.74	31103.0	365	16464.0	1935	0	1052
3896	2020-07-15	Andhra Pradesh	15.9129	79.74	33019.0	408	17467.0	1916	0	1003
3931	2020-07-16	Andhra Pradesh	15.9129	79.74	35451.0	452	18378.0	2432	0	911
3966	2020-07-17	Andhra Pradesh	15.9129	79.74	35451.0	452	18378.0	0	0	0
4001	2020-07-18	Andhra Pradesh	15.9129	79.74	40646.0	534	20298.0	5195	0	1920
4036	2020-07-19	Andhra Pradesh	15.9129	79.74	44609.0	586	21763.0	3963	0	1465
4070	2020-07-20	Andhra Pradesh	15.9129	79.74	49650.0	642	22890.0	5041	0	1127
4104	2020-07-21	Andhra Pradesh	15.9129	79.74	53724.0	696	24228.0	4074	0	1338
4138	2020-07-22	Andhra Pradesh	15.9129	79.74	58668.0	758	25574.0	4944	0	1346
4172	2020-07-23	Andhra Pradesh	15.9129	79.74	64713.0	823	32127.0	6045	0	6553
4206	2020-07-24	Andhra Pradesh	15.9129	79.74	72711.0	884	37555.0	7998	0	5428
4240	2020-07-25	Andhra Pradesh	15.9129	79.74	80858.0	933	39935.0	8147	0	2380
4274	2020-07-26	Andhra Pradesh	15.9129	79.74	88671.0	985	43255.0	7813	0	3320
4309	2020-07-27	Andhra Pradesh	15.9129	79.74	96298.0	1041	46301.0	7627	0	3046
4343	2020-07-28	Andhra Pradesh	15.9129	79.74	102349.0	1090	49558.0	6051	0	3257
4378	2020-07-29	Andhra Pradesh	15.9129	79.74	110297.0	1148	52622.0	7948	0	3064
4413	2020-07-30	Andhra Pradesh	15.9129	79.74	120390.0	1213	55406.0	10093	0	2784
4448	2020-07-31	Andhra Pradesh	15.9129	79.74	130557.0	1281	60024.0	10167	0	4618
4483	2020-08-01	Andhra Pradesh	15.9129	79.74	140933.0	1349	63864.0	10376	0	3840
4518	2020-08-02	Andhra Pradesh	15.9129	79.74	150209.0	1407	76614.0	9276	0	12750
4553	2020-08-03	Andhra Pradesh	15.9129	79.74	158764.0	1474	82886.0	8555	0	6272
4588	2020-08-04	Andhra Pradesh	15.9129	79.74	166586.0	1537	88672.0	7822	0	5786
4623	2020-08-05	Andhra Pradesh	15.9129	79.74	176333.0	1604	95625.0	9747	0	6953
4658	2020-08-06	Andhra Pradesh	15.9129	79.74	186461.0	1681	104354.0	10128	0	8729
